Ticker,SID,Name,Sector,Sub-Industry
TRIP,,TripAdvisor,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
TSN,,Tyson Foods,Consumer Staples,Packaged Foods & Meats
TYC,,Tyco International,Industrials,Industrial Conglomerates
USB,,U.S. Bancorp,Financials,Banks
UNP,,Union Pacific,Industrials,Railroads
UNH,,United Health Group Inc.,Health Care,Managed Health Care
UPS,,United Parcel Service,Industrials,Air Freight & Logistics
X,,United States Steel Corp.,Materials,Steel
UTX,,United Technologies,Industrials,Industrial Conglomerates
UNM,,Unum Group,Financials,Diversified Financial Services
URBN,,Urban Outfitters,Consumer Discretionary,Apparel Retail
VFC,,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
VLO,,Valero Energy,Energy,Oil & Gas Refining & Marketing & Transportation
VAR,,Varian Medical Systems,Health Care,Health Care Equipment & Services
VTR,,Ventas Inc,Financials,Diversified Financial Services
VRSN,,Verisign Inc.,Information Technology,Internet Software & Services
VZ,,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services
VIAB,,Viacom Inc.,Consumer Discretionary,Broadcasting & Cable TV
V,,Visa Inc.,Information Technology,Internet Software & Services
VNO,,Vornado Realty Trust,Financials,REITs
VMC,,Vulcan Materials,Materials,Construction Materials
WMT,,Wal-Mart Stores,Consumer Staples,General Merchandise Stores
WAG,,Walgreen Co.,Consumer Staples,Drug Retail
DIS,,The Walt Disney Company,Consumer Discretionary,Broadcasting & Cable TV
WPO,,Washington Post Co B,Consumer Discretionary,Publishing
WM,,Waste Management Inc.,Industrials,Environmental Services
WAT,,Waters Corporation,Health Care,Health Care Distributors & Services
WLP,,WellPoint Inc.,Health Care,Managed Health Care
WFC,,Wells Fargo,Financials,Banks
WDC,,Western Digital,Information Technology,Computer Storage & Peripherals
WU,,Western Union Co,Information Technology,Internet Software & Services
WY,,Weyerhaeuser Corp.,Financials,REITs
WHR,,Whirlpool Corp.,Consumer Discretionary,Household Appliances
WFM,,Whole Foods Market,Consumer Staples,Food Retail
WMB,,Williams Cos.,Energy,Oil & Gas Exploration & Production
WIN,,Windstream Communications,Telecommunications Services,Integrated Telecommunications Services
WEC,,Wisconsin Energy Corporation,Utilities,Multi-Utilities & Unregulated Power
WPX,,"WPX Energy, Inc.",Energy,Integrated Oil & Gas
WYN,,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
WYNN,,Wynn Resorts Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
XEL,,Xcel Energy Inc,Utilities,Multi-Utilities & Unregulated Power
XRX,,Xerox Corp.,Information Technology,IT Consulting & Services
XLNX,,Xilinx Inc,Information Technology,Semiconductors
XL,,XL Capital,Financials,Property & Casualty Insurance
XYL,,Xylem Inc.,Industrials,Industrial Conglomerates
YHOO,,Yahoo Inc.,Information Technology,Internet Software & Services
YUM,,Yum! Brands Inc,Consumer Discretionary,Restaurants
ZMH,,Zimmer Holdings,Health Care,Health Care Equipment & Services
ZION,,Zions Bancorp,Financials,Banks
